rho_l,rho_s,k_l,k_s,cp_l,cp_s,Surr_temp,L_fusion,temp_init,heat_transfer_coefficient_left,heat_transfer_coefficient_right,Lowest_Niyama
2760.0,3000.0,96.0,110.0,927.0,967.0,313.0,389000.0,1408.0,13.0,13.0,0.8030934622477015
2842.8,3000.0,96.0,110.0,927.0,967.0,313.0,389000.0,880.0,10.0,11.0,0.0016709141415604217
2760.0,3090.0,96.0,110.0,927.0,967.0,313.0,389000.0,880.0,10.0,11.0,0.0007208352928831476
2842.8,3090.0,96.0,110.0,927.0,967.0,313.0,389000.0,1408.0,13.0,13.0,0.8231211817127813
2760.0,3000.0,98.88,110.0,927.0,967.0,313.0,389000.0,880.0,10.0,13.0,0.002215130984645757
2842.8,3000.0,98.88,110.0,927.0,967.0,313.0,389000.0,1408.0,13.0,11.0,0.3974582592933664
2760.0,3090.0,98.88,110.0,927.0,967.0,313.0,389000.0,1408.0,13.0,11.0,0.30786217391388326
2842.8,3090.0,98.88,110.0,927.0,967.0,313.0,389000.0,880.0,10.0,13.0,0.002270372403016571
2760.0,3000.0,96.0,113.3,927.0,967.0,313.0,389000.0,880.0,13.0,11.0,0.3957907041305911
2842.8,3000.0,96.0,113.3,927.0,967.0,313.0,389000.0,1408.0,10.0,13.0,0.001230671157393011
2760.0,3090.0,96.0,113.3,927.0,967.0,313.0,389000.0,1408.0,10.0,13.0,0.0006253618850840444
2842.8,3090.0,96.0,113.3,927.0,967.0,313.0,389000.0,880.0,13.0,11.0,0.40566101880981703
2760.0,3000.0,98.88,113.3,927.0,967.0,313.0,389000.0,1408.0,10.0,11.0,1.52652568232378e-05
2842.8,3000.0,98.88,113.3,927.0,967.0,313.0,389000.0,880.0,13.0,13.0,0.982587692715759
2760.0,3090.0,98.88,113.3,927.0,967.0,313.0,389000.0,880.0,13.0,13.0,0.6960019036730267
2842.8,3090.0,98.88,113.3,927.0,967.0,313.0,389000.0,1408.0,10.0,11.0,1.564594511867296e-05
2760.0,3000.0,96.0,110.0,954.8100000000001,967.0,313.0,389000.0,1408.0,10.0,11.0,0.00034712361200168036
2842.8,3000.0,96.0,110.0,954.8100000000001,967.0,313.0,389000.0,880.0,13.0,13.0,1.0045393832678746
2760.0,3090.0,96.0,110.0,954.8100000000001,967.0,313.0,389000.0,880.0,13.0,13.0,0.7020157720530468
2842.8,3090.0,96.0,110.0,954.8100000000001,967.0,313.0,389000.0,1408.0,10.0,11.0,0.0003557802561504414
2760.0,3000.0,98.88,110.0,954.8100000000001,967.0,313.0,389000.0,880.0,13.0,11.0,0.3486443577963565
2842.8,3000.0,98.88,110.0,954.8100000000001,967.0,313.0,389000.0,1408.0,10.0,13.0,0.003406947016953264
2760.0,3090.0,98.88,110.0,954.8100000000001,967.0,313.0,389000.0,1408.0,10.0,13.0,0.0032737818421182136
2842.8,3090.0,98.88,110.0,954.8100000000001,967.0,313.0,389000.0,880.0,13.0,11.0,0.3573389266345656
2760.0,3000.0,96.0,113.3,954.8100000000001,967.0,313.0,389000.0,880.0,10.0,13.0,0.00445615761376507
2842.8,3000.0,96.0,113.3,954.8100000000001,967.0,313.0,389000.0,1408.0,13.0,11.0,0.3760286338339665
2760.0,3090.0,96.0,113.3,954.8100000000001,967.0,313.0,389000.0,1408.0,13.0,11.0,0.2705528369658094
2842.8,3090.0,96.0,113.3,954.8100000000001,967.0,313.0,389000.0,880.0,10.0,13.0,0.004567286241721872
2760.0,3000.0,98.88,113.3,954.8100000000001,967.0,313.0,389000.0,1408.0,13.0,13.0,0.7835330192060965
2842.8,3000.0,98.88,113.3,954.8100000000001,967.0,313.0,389000.0,880.0,10.0,11.0,0.0013288638290274305
2760.0,3090.0,98.88,113.3,954.8100000000001,967.0,313.0,389000.0,880.0,10.0,11.0,0.0010562986993559987
2842.8,3090.0,98.88,113.3,954.8100000000001,967.0,313.0,389000.0,1408.0,13.0,13.0,0.80307293608746
2760.0,3000.0,96.0,110.0,927.0,996.01,313.0,389000.0,1408.0,13.0,13.0,0.8378107200256818
2842.8,3000.0,96.0,110.0,927.0,996.01,313.0,389000.0,880.0,10.0,11.0,0.0014843424726738237
2760.0,3090.0,96.0,110.0,927.0,996.01,313.0,389000.0,880.0,10.0,11.0,0.0010092963601071965
2842.8,3090.0,96.0,110.0,927.0,996.01,313.0,389000.0,1408.0,13.0,13.0,0.8587042260175601
2760.0,3000.0,98.88,110.0,927.0,996.01,313.0,389000.0,880.0,10.0,13.0,0.0024960523566260645
